Timestamp,instrument,used_before,years_lessons,has_prev_chamber_exp,"If ""yes"", what kind of group was it? (ex: chamber music, jazz combo, rock band, acapella)",small_group_exp,has_done_virtual_rehearsal,"If ""yes"", was your first virtual music rehearsal before or during the pandemic?","If ""yes"", which software did you use, and how did the experience compare to JamNSync?",recording_exp,daw_exp,Did you read these instructions on the home page?,nav_rating,setup_rating,groupfeat_rating,aligntool_rating,audioquality_rating,audio_in,audio_out,Comments on audio quality and overall recording experience:,not_in_person_likelihood,Explain your reasoning.,in_person_likelihood,Explain your reasoning.,What did you think worked particularly well?,What did you find frustrating about the experience?,"Final thoughts or recommendations (i.e. for the app, user test experience, etc.)?"
2021/05/06 9:59:17 AM AST,ukulele,Yes,8+ years,Yes,"small orchestra ensemble, piano duets ",2-4 years,No,,,2,2,"Yes, entirely.",7,6,6,3,4,wired headphones,wired,"audio quality was clear but could hear clicking periodically, when using alignment tool the audio quality of one track was at a lower pitch. overall recording experience was easy to follow given nanette's guidance i walking through the features, but it would have been less intuitive otherwise (if using it for the first time) due to lots of similar buttons (play, stop, record) but with different uses (solo vs. group) ",5,"i would use it for rehearsing but not for practicing. practicing using this platform could be tedious (esp. if we have to stop restart many times), but if my group members and i were pretty confident in our performance, i think this platform is a valuable tool to sync up those tracks. ",1,"nothing beats in the in-person experience of playing music together, but in an increasingly virtual and borderless world, i can see how this app could have a larger purpose in bringing people from different geo locations together to play music ","logging in, creating group, creating project all felt intuitive and seamless, was cool to be able to hear the two tracks played together! and also it was fun to play the uke while listening to the piano track. i like the app name also. ","the two areas that were hardest to follow were 1. navigating the recording page without someone walking me through it the first time (particularly lower left corner where the record/stop/play buttons for both solo and group exist, not as intuitive as to which ones i want to use when multiple tracks exist) and 2. using the alignment tool (how do i know which peak to align the bar with? first peak vs. fourth peak? sometimes the peaks are thick - do i align at the beginning or middle or end of peak). for non-professionals, including some preface as to why the alignment tool is useful/what the purpose is could be helpful.","just curious - what does the recording page look like when there are many tracks? could be inconvenient to scroll to the bottom each time to record, can consider moving master controls as a panel off to the right that sticks as you scroll. buttons can be larger + colored + more contrasting border + keep font consistent + delete take button is slightly thicker than download take i think. overall, it's a unique and cool webapp and i'm proud of the amount of time, energy, and thought you've put into it + what you've accomplished so far! good job nanette : ) "
2021/05/06 9:52:22 PM AST,Voice,No,8+ years,Yes,"acapella, self with self, piano accompaniment + solo",8+ years,Yes,During (March 2020 - present),"Soundjack, Zoom.  Soundjack was more magical, but a lot more of a hassle due to ethernet, port forwarding, complicated UI.  Zoom was much worse because it is not built for this use case.",6,7,"Yes, just a skim.",6,6,6,4,7,usb mic,professional wired,"Great audio quality.  Permissions came up fine, and not more difficult than audacity or any recording software.  ""Select to record"" button slightly confusing but alert to select a track is helpful.",7,"Audio alignment tool is a very helpful tool because before this, I would insert and delete silence manually on Audacity in order to align tracks.  Dragging makes much more sense.  Also, the collaborative aspects of the JamNSync platform are a unified alternative to sending and receiving tracks via Facebook, GDrive, and email.  It is much less of a hassle than real-time low-latency softwares such as Soundjack which have technical requirements for using them.",4,"I still might want to use JamNSync when people are far away, when I am trying to record myself with myself (which does not have the capability to happen in real life), or when I want to do a quick no-hassle rehearsal or ""sketch"" without travelling to meet someone.  However, it is difficult to perform as musically on JamNSync immediately because of the requirement of a backing track or a person with strong understanding of the tempo of the piece (often musicians will react to each other during a piece to negotiate tempo).","Audio alignment tool is genius!  The buttons and interface are very simple which is an advantage.  I also liked the ability to preview my finished product (play with volumes, mute tracks, delete tracks, etc) natively.  I thought the near-real-time online indicator for my musician partner was also neat.  I think calling recordings ""Takes"" really helps me understand their role.  Login was also really easy.","There is little feedback for incoming updates from my partner (if they are uploading a track, waiting to perform a group audio action, or stopped recording), especially when I am looking down to study my music (i.e., would prefer audio feedback in some cases).  There is no ability to re-align tracks even by re-uploading them.  It is sometimes confusing to have to create a project in a group rather than create one as the first action taken on the platform.  It is also confusing that tracks change over time (i.e., Parts would make more sense ? ).  Load times were a little slow.  When attempting to align a track in which I did not sing immediately (Soprano track which rests for first 2 measures), it was frustrating for 2 reasons: (1) Need to be able to amplify Soprano track to distinguish it from the backing track, and (2) Prefer to be able to start listening to alignment when Soprano starts singing rather than beginning of track.  Frustrations with alignment tool were voiced.","Alignment of tracks is a major pain point for mixing of asynchronous recordings, which is at least partially addressed by this app, making this app very useful.  It was exciting to discover the capabilities of the app during the user test.  Generally a bit more UI work is warranted (including more indicators), but make sure to keep the great simplicity going."
2021/05/07 12:27:11 AM AST,Guitar,No,<1 year,Yes,Band in middle school,1-2 years,No,,,6,6,"Yes, just a skim.",7,7,6,6,5,built-in laptop,professional wired,"Accurate for what I expected my laptop to be, and surpassed my expectatioons of what I thought the app would be. Recording was easy. Would be nice if we didn't have to record the whole thing in one take , or memorize how many beats to wait in the intro measure.",6,"I like how quick it is to hear everything together. And how you don't need to send music tracks to other people to stitch together. However, I think it would get annoying quick to start from the beginning every time. And not being able to navigate to specific parts is a little inefficient for limited practice time.",2,"You don't need to record or set up zoom/mic settings to rehearse. And hearing things live is the best way to receive audio. However, JamNSync is handy for keeping recordings, and also hearing how a group sounds from not being a player within the group. However, IDK how accurate it is for group sound since it all depends on how close someone sits to their mic, and how good their technology is.","Recording was easy. Adding tracks, projects, members, group listen.",Where is the seeker thing!! I would like one.,"I thought it was super smooth, except when it was broken. But since refreshing fixed it well enough it wasn't too noticeable. I thought dragging to align was satisfying. And I think Nanette tested everything well and was a good app guide."
2021/05/07 2:16:08 AM AST,Piano,No,<1 year,Yes,concerto type piano + strings (only 1 performance tho),<1 year,No,,,2,3,"Yes, just a skim.",6,6,5,7,3,built-in laptop,professional wired,"Audio quality was bad, with loud and soft spots. Each note had a ""tsh"" sound at the beginning. Overall recording experience was smooth.",7,Don't know any alternatives. Easy to set up and get started with.,3,Maybe in between in-person practices. Likely will use asynchrously by uploading track and playing along. Better than just having a recording play off a phone because you can listen to the combined result at the end.,Easy to set up and get started. No noticeable lag on group commands. ,"Sound quality, but I don't expect the best from the laptop mic. ",Group buttons need feedback for the 2nd person. Could be as simple as displaying a 1/2 ready for the 2nd person as well.
2021/05/07 11:02:28 AM AST,Voice,No,8+ years,Yes,Jazz Combo,4-8 years,Yes,During (March 2020 - present),Jazz band tried to use sound jack/zoom to rehearse and it was a nightmare. Soundjack disconnected all of the time and when it was working there was too much of a delay to rehearse synchronously. When we rehearsed in Zoom we couldn't really get anything done. We would occasionally try to play with the delay but that didn't really work at all. A tool like this would've been helpful to rehearse certain sections.,6,6,"Yes, just a skim.",7,7,6,5,7,usb mic,professional wired,"The audio quality was fine when I downloaded the take, but there was a decent amount of popping while I was listening back. Otherwise when I listened back everything sounded good.",5,I think this is a nice tool to rehearse and it is much better than trying to play synchronously. I think the idea of just using something like this instead is better.,2,Playing with people in person just can't be beat. The experience is so much better than playing together online. You can also adjust on the fly to what someone else is doing which is impossible with something like this.,"I think in general the whole system was pretty intuitive and worked pretty well. Setting up a group and a project was pretty easy, and it was nice to be able to see who was logged onto the project as well. Recording makes sense too and works well. Everything on the whole is easy to understand.","There's no way to see where in the song you are/how far you are in the backing track. It would be nice if there was some progress bar for that. The alignment is also a bit annoying because you have to start from the beginning every time you click play. If a person comes in a bit late, the alignment process can be rather frustrating as you wait for playback to reach the spot you just came in on.","The biggest thing that would stop me from using this is the inability to loop a given section. If you wanted to check a specific section you would have to record all the way from the beginning, which would be frustrating especially if you just wanted to run a tricky part over and over again which is a lot of what rehearsing consists of."
2021/05/07 11:04:44 AM AST,Voice,No,8+ years,Yes,"Chamber music, a cappella",4-8 years,Yes,During (March 2020 - present),"Bandlab - Bandlab had a lot more functionality than JamNSync (which makes sense, seeing that it's like an actual website made by a lot of people over a number of years). I can't speak to how intuitive/easy it was to use because I was already used to using a DAW by that point, and Bandlab was similar enough to Reaper that I figured it out pretty quickly. Maybe since JamNSync is stripped down, it's more understandable to someone who hasn't worked with music production?",6,6,"Yes, just a skim.",5,5,5,4,5,usb mic,professional wired,The backing track quality was great and I thought recording over it was pretty easy. Some clicks and a really high pitched frequency in my track. Also the problem with aligning over multiple tracks,4,"Honestly, I very much prefer in-person rehearsal, and in the absence of that, I'd rather just practice on my own and not have to deal with the overhead of working through a website (particularly things like aligning audio and communicating about when to start/stop recording). Since we're all on Zoom, we can give each other verbal cues like ""Okay, I'm about to press start,"" but it would feel very detached and maybe a bit bewildering to be working on JamNSync without some other channel of live communication going on simultaneously. Like, you just wait until someone presses group record / group play? And sit there in silence otherwise?

Another thought is that it's pretty common in rehearsal to stop in the middle of a runthrough to practice a particular section, which isn't an option on JamNSync as it exists now. So using JamNSync would be less like a regular rehearsal and more like a pre-performance runthrough.",1,I feel like my answer to the previous question sums up why I would prefer to rehearse in-person.,"I think the UI is pretty intuitive (the alignment part is probably the least so, but that's a difficult one to design), and the workflow was simple enough. I was impressed by the quality of the audio.","Nothing was frustrating in the sense that I got angry/upset (which has happened with other remote technologies lol). There are things that would have been nice to add on, but I'll put those in the next section","- Visual feedback to know that you're recording (ellipses like a text message bubble or something maybe?)
- Adjustable time before recording (it's set at three seconds, but that might be a little too short for someone depending on their instrument or set-up)
- Playback from any part of the track for alignment (like have an anchored cursor in the middle for aligning where you want to start in the backing track, and the backing track moves?)
- Make hovering over the moveable things the finger instead of the mouse"
2021/05/07 12:15:00 PM AST,Piano,Yes,8+ years,Yes,Chamber music,2-4 years,Yes,During (March 2020 - present),"Attempt at Bandlab, which was difficult to use mainly because it seemed more limiting for classical music and people in group were slow to make accounts. We talked about soundjack, but no one was willing to set this up, and it was confusing. Also used garageband and audacity for recordings. Audacity seemed to have a steep learning curve and wasn't easy to use. Not everyone had macs, so garageband wasn't always an option. Both of these options also involved sending many files back and forth which was slow. We also tried Zoom, which was the most limiting because we just had everyone play to one person while muted. JamNSync was easy to pick up and did not require long set up (just needed to put in google account), and it seemed pretty straightforward to layer tracks quickly in real time which is useful for rehearsals (takes care of the long wait times that limit garageband/audacity, which could be used instead only for final recordings).",4,4,"Yes, just a skim.",7,7,5,7,6,airpods,airpods,"Audio quality was very good, even considering poor mic (airpods). Recording was intuitive and easy (just a few button clicks to get everything set up). Some bugs in putting multiple parts together in the alignment stage, but while recording it was great (could hear the backing track and previously recorded cello part clearly)",6,"I think this fills a hole for real-time remote rehearsals. In my experiences rehearsing remotely, the other options were inconvenient or limiting. For bandlab and soundjack, the setup was extensive and confusing. For sending files back and forth on garageband/audacity, and sometimes dropbox messed up the files while updating. For zoom real-time rehearsals, you could only hear one part at a time which gets time consuming for larger groups.",3,"It depends on convenience level for meeting in person, but in general meeting in person would probably be more efficient. I think there could be a place for JamNSync if there's limited in-person rehearsal time, and there's specific sections that need to be practiced together (e.g. something like Messiaen mvmt. 4 part F lol)",I like the simplicity and that you can immediately get started without being confused by some lengthy setup process. The alignment feature between the backing track and and recording was great. It is also cool that everything updates in real time so you can work on it at the same time as the rest of the group.,"I think the group record functions made sense eventually, but maybe a small demo on how it works would be helpful (so giving instructions on when/why you would use the group record). ","Still think it would be useful to have a seeking feature for playing tracks and maybe having the track alignment as a constant feature so you can drag and adjust later on as well. And for the track alignment with multiple parts at the same time, to have each part on a separate line (though it was clear in my test, I could see how the stacking of several tracks with metronome into one part could potentially be difficult to align). Could be useful to have an explanation on the best way to use the app (like that you want to record tracks individually, and then you can try recording again while hearing the other parts at the same time). "
2021/05/07 12:54:10 PM AST,Cello,Yes,8+ years,Yes,chamber music,8+ years,Yes,During (March 2020 - present),"bandlab: completely incompatible with airpods, experience was pretty terrible. barely used it because it was bad

zoom: we just used this as a video+ audio calling mechanism that allows muting--nothing more. Completely useless for playing things together unmuted.",2,3,"Yes, just a skim.",7,6,3,6,1,airpods,airpods,"audio quality is hot garbage, but that is certainly because i used airpods, which have terrible mics. Overall recording experience was mostly solid, some small inconveniences like hanging to allow mic permissions and weirdness w/ the airpod recording alignment",3,"jamnsync is pretty solid but i would just rather play solo music as opposed to any kind of recording, basically",1,i'd not use any sort of recording software (to collaborate) if unneeded. time could be better spent just practicing individually,backing track was nice; aligning the track w/ backing track was good (when the track recorded properly). UI was nice,airpods recording incorrectly. also the group play didn't work on play back,"definitely would recommend testing w/ passages that do not have constant tempo. seems extremely difficult (just like with any recording software). the 4 group buttons are pretty unintuitive, so writing explanations on the sides would be nice"
2021/05/09 6:10:23 PM AST,Clarinet,No,4-8 years,Yes,Chamber music,1-2 years,Yes,During (March 2020 - present),"Zoom - Impossible to play together with even just one person. Lots of manual tweaking to figure out how to not distort the sound of a single person playing. It was clearly designed for just video conferencing in mind.

Soundjack - I almost got it working at one point, but then for some reason started having issues. There were too many settings to configure. Getting it set up required lots of reading and going through multiple tutorials. With setting is optimal varies with your internet and computer set up. It was frustrating not knowing if there was an issue was caused by my equipment, my soundjack settings, or the application itself. It makes sense that a wired Ethernet connection is necessary for synchronous playing, but that too can be an issue since most laptops don't have a built in port anymore.",4,4,"Yes, entirely.",3,5,5,6,3,built-in laptop,professional wired,"Saving the recording worked pretty well. There was no feedback during the recording, however, and it was hard to tell what my levels were and whether or not I was clipping.",5,"This system is a nice middle ground. Even though groups still aren't playing synchronously with one another, this tool gives people the ability to iterate quickly together. I think it is a much nicer experience compared to what we have been doing in the MITWE chamber groups so far, which is recording separately and then spending all of our zoom meetings just piecing the recordings together in a DAW. For JamNSync to work, we would probably need the ability to re-record just portions of a piece (rather than the entire piece each time), and specific parts.",1,"I really miss playing with other people in person ðŸ˜¢
Live music is such a different experience. It is really hard to replicate the immediate feedback that you get in a live setting. People automatically adjust their pitch, tone, and intensity to each other and it makes such a big difference.","I think the basic idea is good, and saving / uploading the files as pretty seamless.","Having to manually align the tracks. This might be a necessity because of the latency of the audio input and web browser, but I wish it wasn't. Alignment can be really difficult for a variety of reasons (the backing track can be hard to sync to, the player might be slightly late on their first note, etc.) It always feels like guess work no matter how hard the user tries, and its frustrating because they know this.

Nearly all of the buttons could be easier to click on. Try playing around with the placement and sizing. Often times the most important buttons are difficult to click and not prominent enough.

The overall navigation and visual hierarchy of the pages is a bit confusing. The home page doesn't seem very useful. Once I was on the main page for a project, it wasn't clear from  the navbar or the headers where I was in the app.","The overall flow of the app could be a little bit smoother. For a first time user, it's not always clear what the next step is supposed to be. The login button, for example, is hidden away at the top right corner. When the alignment modal pops up, the instructions for what to do are pretty clear, but there is no explanation for why I have to do it in the first place. Some of the buttons don't make sense until all users have selected a track, and it would be nice to guide the user to naturally do so instead of displaying and error message after they try to click the record button."
2021/05/10 12:55:16 PM AST,Clarinet,No,4-8 years,Yes,Chamber music: 3 years of wind quintet and a semester of a piano/voice trio,2-4 years,Yes,During (March 2020 - present),"For MITSO last spring, we used Audacity to record to each other's tracks, Dropbox to send them to each other, and Zoom to listen to them together. It was a lot to manage! JamNSync was a really nice experience because you got to experience the recording sessions together. Recording separately and by yourself and listening to it later isn't nearly as much fun as recording at the same time and working on it together.",4,4,"Yes, entirely.",7,7,6,7,5,built-in laptop,professional wired,"The audio quality was pretty nice! Surprisingly nice for my built-in mic and recording through the browser. There was some peaking and crackles in listening back (but not too noticeably) and a bit more noticeably after downloading the file. The recording experience was smooth and easy to manage. I liked being able to view all the tracks and play them back, as well as delete the ones I didn't want. It was awesome to have multiple parts, tracks, and projects all in one place :)",6,"JamNSync was a blast! I think especially to have some fun and do a live recording session, JamNSync is the only thing I know of to do that with and listen back to each other in-sync. Otherwise, I would just record by myself or to other tracks and send them back and forth to my collaborators. JamNSync reminded me how much I've missed playing chamber music this year!",5,"Most of the people I play music with are not in my location right now, and I would still want to collaborate with my friends who don't live close by! ","I liked the simplicity and clarity of the UI, I could learn quickly how to navigate and use the system just how I wanted. The ability to upload tracks, like a backing track, or potentially tracks from people who can't join in the recording session, is really nice! I liked the track alignment quite a lot, it was nice to have control over the exact timing of the tracks. I also loved being able to play and listen to multiple tracks and group record! It was fun to know I was making music at the same time with someone again. The group play was also nice, as we could listen together and comment on things we wanted to re-take, change, or thought went well. ","There were only a couple things that would have been nice to have in addition. One is being able to listen longer to the recorded track while aligning it, as the piece we played had some pick-up notes in one part that made it difficult to be in-time until a few measures later. Or, if it would be possible to re-adjust the alignment later, that would work too! It would also be fun to have a chat feature or be able to communicate with your online collaborator without necessarily needing to be on a video/phone call together for more low-key recording sessions.","This was so much fun! I haven't played music together with someone in months, and it was lovely to listen back to our tracks together. I think we tested and played around with it for about 2 hours! I didn't have issues with my browser or mic set-up and got started recording quickly, which is important. It usually takes me a long time to get my Dropbox/Audacity/etc. all set up."